filename,num_tokens,token_min,token_max
AC_DC_-_Back_In_Black_bass_part2.mid,1556,28,58
AC_DC_-_Back_In_Black_Electric_Guitar_part1.mid,2187,40,83
AC_DC_-_Back_In_Black_Electric_Guitar_part4.mid,465,52,91
AC_DC_-_Back_In_Black_Electric_Guitar_part5.mid,465,40,79
AC_DC_-_Back_In_Black_main_guitar_part0.mid,2213,40,88
AC_DC_-_Back_In_Black_Percussion_part6.mid,559,36,49
AC_DC_-_Back_In_Black_Sampler_part3.mid,1184,64,79
AC_DC_-_Back_In_Black_voc_-bu_part7.mid,2342,52,79
AC_DC_-_Dirty_Deeds_Done_Dirt_Cheap_Bass_part2.mid,770,28,40
AC_DC_-_Dirty_Deeds_Done_Dirt_Cheap_Electric_Guitar_part0.mid,948,40,71
AC_DC_-_Dirty_Deeds_Done_Dirt_Cheap_Electric_Guitar_part1.mid,258,59,81
AC_DC_-_Dirty_Deeds_Done_Dirt_Cheap_Percussion_part3.mid,1370,35,50
AC_DC_-_For_Those_About_to_Rock_bass_part4.mid,613,40,59
AC_DC_-_For_Those_About_to_Rock_Electric_Guitar_part1.mid,799,47,100
AC_DC_-_For_Those_About_to_Rock_Electric_Guitar_part2.mid,1352,52,78
AC_DC_-_For_Those_About_to_Rock_Electric_Guitar_part6.mid,352,64,100
AC_DC_-_For_Those_About_to_Rock_Electric_Guitar_part7.mid,1352,52,78
AC_DC_-_For_Those_About_to_Rock_Electric_Guitar_part8.mid,176,66,66
AC_DC_-_For_Those_About_to_Rock_Electric_Guitar_part9.mid,490,52,83
AC_DC_-_For_Those_About_to_Rock_Percussion_part3.mid,1273,35,60
AC_DC_-_For_Those_About_to_Rock_Sampler_part0.mid,455,59,80
AC_DC_-_Hells_Bells_Clavichord_part10.mid,56,57,69
AC_DC_-_Hells_Bells_Electric_Bass_part5.mid,603,40,57
AC_DC_-_Hells_Bells_Electric_Bass_part6.mid,603,28,45
AC_DC_-_Hells_Bells_Electric_Piano_part1.mid,880,52,96
AC_DC_-_Hells_Bells_Electric_Piano_part3.mid,410,52,80
AC_DC_-_Hells_Bells_Percussion_part7.mid,360,36,36
AC_DC_-_Hells_Bells_Percussion_part8.mid,168,40,40
AC_DC_-_Hells_Bells_Percussion_part9.mid,661,44,64
AC_DC_-_Hells_Bells_Piano_part2.mid,214,52,93
AC_DC_-_Hells_Bells_Sampler_part0.mid,231,57,92
AC_DC_-_Who_Made_Who_Electric_Guitar_part0.mid,187,24,60
AC_DC_-_Who_Made_Who_Electric_Guitar_part1.mid,661,31,77
AC_DC_-_Who_Made_Who_fingered_bass_part3.mid,764,29,38
AC_DC_-_Who_Made_Who_more_rhythm_guitar_part2.mid,428,24,48
AC_DC_-_Who_Made_Who_Percussion_part4.mid,1193,36,60
Guns_n_Roses_-_Don't_Cry_Baritone_Saxophone_part7.mid,219,72,88
Guns_n_Roses_-_Don't_Cry_Bass_part8.mid,528,38,60
Guns_n_Roses_-_Don't_Cry_Electric_Guitar_part2.mid,1782,52,89
Guns_n_Roses_-_Don't_Cry_Electric_Guitar_part4.mid,518,53,79
Guns_n_Roses_-_Don't_Cry_Electric_Guitar_part5.mid,325,52,79
Guns_n_Roses_-_Don't_Cry_Gtr._V_part6.mid,117,60,95
Guns_n_Roses_-_Don't_Cry_Voice_part1.mid,298,60,88
Guns_n_Roses_-_Live_and_Let_Die_Echo_Pan_part5.mid,204,55,72
Guns_n_Roses_-_Live_and_Let_Die_Elec_Gtr_2_part1.mid,666,58,84
Guns_n_Roses_-_Live_and_Let_Die_Percussion_part7.mid,343,36,60
Guns_n_Roses_-_Live_and_Let_Die_Sax_1_part6.mid,272,58,84
Guns_n_Roses_-_Live_and_Let_Die_StringInstrument_part4.mid,68,62,83
Guns_n_Roses_-_Live_and_Let_Die_Syn_Bass_3_part2.mid,228,38,59
Guns_n_Roses_-_Live_and_Let_Die_Timpani_part0.mid,141,57,81
Guns_n_Roses_-_Nightrain_Electric_Guitar_part1.mid,889,40,67
Guns_n_Roses_-_Nightrain_Electric_Guitar_part2.mid,208,42,78
Guns_n_Roses_-_Nightrain_Electric_Guitar_part4.mid,1220,53,79
Guns_n_Roses_-_Nightrain_Fretless_Bass_part0.mid,706,24,45
Guns_n_Roses_-_Nightrain_Trumpet_part3.mid,332,67,88
Guns_n_Roses_-_November_Rain_Accordion_part5.mid,154,59,66
Guns_n_Roses_-_November_Rain_Axl_Rose_-Piano-_part0.mid,1856,26,76
Guns_n_Roses_-_November_Rain_Electric_Guitar_part3.mid,698,47,85
Guns_n_Roses_-_November_Rain_Harmonica_part1.mid,579,54,83
Guns_n_Roses_-_November_Rain_Matt_-Percussion-_part6.mid,1547,35,60
Guns_n_Roses_-_November_Rain_StringInstrument_part2.mid,213,50,66
Guns_n_Roses_-_Sweet_Child_O_Mine_Acoustic_Guitar_part6.mid,1360,39,66
Guns_n_Roses_-_Sweet_Child_O_Mine_Bass_part13.mid,909,27,58
Guns_n_Roses_-_Sweet_Child_O_Mine_Electric_Guitar_part1.mid,684,39,85
Guns_n_Roses_-_Sweet_Child_O_Mine_Lead_Guitar_part0.mid,685,39,85
Guns_n_Roses_-_Sweet_Child_O_Mine_Percussion_part14.mid,1917,35,77
Guns_n_Roses_-_Sweet_Child_O_Mine_Rhthym_Guitar_Clean_&_Dist_part7.mid,1172,39,73
Guns_n_Roses_-_Sweet_Child_O_Mine_Rhthym_Guitar_Dist_part4.mid,2122,39,66
Guns_n_Roses_-_Welcome_to_the_Jungle_Choir_part10.mid,56,51,61
Guns_n_Roses_-_Welcome_to_the_Jungle_Choir_part11.mid,56,51,61
Guns_n_Roses_-_Welcome_to_the_Jungle_Electric_Bass_part4.mid,897,26,46
Guns_n_Roses_-_Welcome_to_the_Jungle_Electric_Guitar_part0.mid,134,46,58
Guns_n_Roses_-_Welcome_to_the_Jungle_Electric_Guitar_part1.mid,141,46,58
Guns_n_Roses_-_Welcome_to_the_Jungle_Electric_Guitar_part2.mid,134,46,58
Guns_n_Roses_-_Welcome_to_the_Jungle_Electric_Guitar_part5.mid,1317,37,84
Guns_n_Roses_-_Welcome_to_the_Jungle_Electric_Guitar_part6.mid,1317,37,84
Guns_n_Roses_-_Welcome_to_the_Jungle_Electric_Guitar_part7.mid,197,44,87
Guns_n_Roses_-_Welcome_to_the_Jungle_Electric_Guitar_part8.mid,199,44,87
